Gilt Name,Close of Business Date,ISIN,Type,Coupon,Maturity,Clean Price,Dirty Price,Purchased_Price,Yield,Mod Duration,Accrued Interest
UKT 0.125 01/24,25/04/2023,GB00BMGR2791,Conventional,0.125,31/01/2024,97.002,97.031351,101,4.157935,0.743096,0.029351
UKT 0.125 01/24,26/04/2023,GB00BMGR2791,Conventional,0.125,31/01/2024,97.027,97.056696,94,4.137576,0.740635,0.029696
UKT 1 04/24,20/04/2023,GB00BFWFPL34,Conventional,1,22/04/2024,96.765,96.762253,98,4.331542,0.96072,-0.002747
UKT 1 04/24,21/04/2023,GB00BFWFPL34,Conventional,1,22/04/2024,96.768,96.773464,110,4.355853,0.952956,0.005464
UKT 1 04/24,24/04/2023,GB00BFWFPL34,Conventional,1,22/04/2024,96.815,96.823197,96,4.348873,0.950822,0.008197
UKT 1 04/24,25/04/2023,GB00BFWFPL34,Conventional,1,22/04/2024,96.925,96.935929,106,4.238269,0.949305,0.010929
UKT 1 04/24,26/04/2023,GB00BFWFPL34,Conventional,1,22/04/2024,96.939,96.952661,111,4.23181,0.94684,0.013661
UKT 2.75 09/24,20/04/2023,GB00BHBFH458,Conventional,2.75,07/09/2024,98.004,98.340277,107,4.25499,1.328945,0.336277
UKT 2.75 09/24,21/04/2023,GB00BHBFH458,Conventional,2.75,07/09/2024,97.987,98.345696,110,4.276804,1.320818,0.358696
UKT 2.75 09/24,24/04/2023,GB00BHBFH458,Conventional,2.75,07/09/2024,98.044,98.410168,92,4.235815,1.318429,0.366168
UKT 2.75 09/24,25/04/2023,GB00BHBFH458,Conventional,2.75,07/09/2024,98.192,98.565641,103,4.124527,1.316503,0.373641
UKT 2.75 09/24,26/04/2023,GB00BHBFH458,Conventional,2.75,07/09/2024,98.209,98.590114,100,4.114075,1.31391,0.381114
UKT 0.25 01/25,20/04/2023,GB00BLPK7110,Conventional,0.25,31/01/2025,93.257,93.312249,109,4.224202,1.738372,0.055249
